Scientific Name,Species Name,BC List,COSEWIC,Carp Lake,Crooked,Nation,Parsnip Arm,Parsnip,Peace Arm,Upper Peace
Catostomus catostomus,Longnose Sucker,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Catostomus columbianus,Bridgelip Sucker,Yellow,NA,NA,Yes,NA,NA,NA,NA,NA
Catostomus commersonii,White Sucker,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Catostomus macrocheilus,Largescale Sucker,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Chrosomus eos,Northern Redbelly Dace,Yellow,NA,NA,NA,NA,NA,NA,NA,Yes
Chrosomus neogaeus,Finescale Dace,Yellow,NA,NA,NA,NA,NA,NA,NA,Yes
Coregonus clupeaformis,Lake Whitefish,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cottus aleuticus,Coastrange Sculpin (formerly Aleutian Sculpin),Yellow,NA,NA,NA,NA,NA,Yes,NA,NA
Cottus asper,Prickly Sculpin,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cottus cognatus,Slimy Sculpin,Yellow,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes
Cottus hubbsi,Mottled Sculpin,Blue,SC (Nov 2010),NA,NA,Yes,NA,Yes,NA,Yes
Cottus rhotheus,Torrent Sculpin,Yellow,NA,NA,NA,NA,NA,NA,NA,Yes
Cottus ricei,Spoonhead Sculpin,Yellow,NAR (May 1989),NA,NA,NA,Yes,NA,NA,Yes
Couesius plumbeus,Lake Chub,Yellow,DD,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Culaea inconstans,Brook Stickleback,Yellow,NA,NA,NA,NA,NA,NA,NA,Yes
Esox lucius,Northern Pike,Yellow,NA,NA,Yes,NA,NA,NA,NA,Yes
Hiodon alosoides,Goldeye,Blue,NA,NA,NA,NA,NA,NA,NA,Yes
Hybognathus hankinsoni,Brassy Minnow,No Status,NA,Yes,Yes,Yes,Yes,NA,NA,NA
Lota lota,Burbot,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mylocheilus caurinus,Peamouth Chub,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Notropis atherinoides,Emerald Shiner,Unknown,NA,NA,NA,NA,NA,NA,NA,Yes
Notropis hudsonius,Spottail Shiner,Red,NA,NA,NA,NA,NA,NA,NA,Yes
Oncorhynchus clarkii,Cutthroat Trout,No Status,NA,NA,NA,NA,NA,NA,NA,Yes
Oncorhynchus clarkii lewisi,Westslope (Yellowstone) Cutthroat Trout,Blue,SC (Nov 2016),NA,NA,NA,NA,NA,NA,Yes
Oncorhynchus mykiss,Rainbow Trout,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
